Date,Close,High,Low,Open,Volume
7/8/1981,3.8698,3.8853,3.8698,3.8698,10678
7/9/1981,3.8156,3.8311,3.8156,3.8311,12457
7/10/1981,3.9317,3.9472,3.9317,3.9317,17796
7/13/1981,3.9936,4.0091,3.9936,3.9936,3559
7/14/1981,3.8389,3.8621,3.8389,3.8621,34703
7/15/1981,3.8389,3.8621,3.8389,3.8389,1780
7/16/1981,3.8389,3.8621,3.8389,3.8389,7118
7/17/1981,3.8389,3.8466,3.8389,3.8389,890
7/20/1981,3.8156,3.8311,3.8156,3.8311,40931
7/21/1981,3.8156,3.8156,3.8156,3.8156,0
7/22/1981,3.7769,3.8002,3.7769,3.8002,6229
7/23/1981,3.8079,3.8234,3.8079,3.8079,1780
7/24/1981,3.9163,3.924,3.9163,3.9163,32923
7/27/1981,3.9085,3.9085,3.9085,3.9085,8008
7/28/1981,3.8234,3.8466,3.8234,3.8466,5339
7/29/1981,3.9008,3.9163,3.9008,3.9008,10678
7/30/1981,3.9008,3.924,3.9008,3.9008,890
7/31/1981,3.893,3.9163,3.893,3.9008,4449
8/3/1981,3.715,3.7305,3.715,3.7305,22245
8/4/1981,3.715,3.715,3.715,3.715,0
8/5/1981,3.9936,4.0169,3.9936,3.9936,8898
8/6/1981,4.0865,4.0943,4.0865,4.0865,114786
8/7/1981,4.3187,4.3342,4.3187,4.3187,106777
8/10/1981,4.3187,4.3187,4.3187,4.3187,0
8/11/1981,4.0401,4.0556,4.0401,4.0556,32923
8/12/1981,4.0401,4.0556,4.0401,4.0401,47160
8/13/1981,3.9317,3.9627,3.9317,3.9627,890
8/14/1981,3.9317,3.9317,3.9317,3.9317,0
8/17/1981,4.0246,4.0478,4.0246,4.0246,11568
8/18/1981,3.9782,3.9936,3.9782,3.9936,10678
8/19/1981,4.0169,4.0401,4.0169,4.0169,17796
8/20/1981,4.0014,4.0246,4.0014,4.0169,4449
8/21/1981,4.0014,4.0014,4.0014,4.0014,0
8/24/1981,4.0401,4.0633,4.0401,4.0401,19576
8/25/1981,3.893,3.9163,3.893,3.9163,21355
8/26/1981,3.893,3.9085,3.893,3.893,9788
8/27/1981,3.7228,3.746,3.7228,3.746,2669
8/28/1981,3.6221,3.6454,3.6221,3.6454,1780
8/31/1981,3.6067,3.6221,3.6067,3.6221,30254
9/1/1981,3.4674,3.4828,3.4674,3.4828,21355
9/2/1981,3.3822,3.3977,3.3822,3.3977,32033
9/3/1981,3.5447,3.5602,3.5447,3.5447,21355
9/4/1981,3.537,3.5602,3.537,3.5447,8008
9/8/1981,3.6221,3.6376,3.6221,3.6221,48050
9/9/1981,3.5293,3.5447,3.5293,3.5447,44491
9/10/1981,3.5293,3.5447,3.5293,3.5293,51609
9/11/1981,3.3977,3.4209,3.3977,3.4209,19576
9/14/1981,3.3977,3.3977,3.3977,3.3977,0
9/15/1981,3.5138,3.5293,3.5138,3.5138,2669
9/16/1981,3.4983,3.5138,3.4983,3.5138,2669
9/17/1981,3.537,3.5525,3.537,3.537,1780
9/18/1981,3.5293,3.5525,3.5293,3.537,32033
